home_score,away_score,n_x,n_y,p_x,p_y,a,b,time_remaining,home_expected,away_expected,time_elapsed
0.0,0.0,0.0,149.0,0.5,0.0,0.0,0.0,2400.0,0.0,0.0,0.0
0.0,0.0,149.0,149.0,0.0,0.0,0.0,0.0,2384.0,0.0,0.0,16.0
0.0,0.0,132.0,132.0,0.0,0.0,0.0,0.0,2384.0,0.0,0.0,16.0
0.0,0.0,79.0,158.0,0.0,0.0,0.0,0.0,2382.0,0.0,0.0,18.0
0.0,0.0,76.0,153.0,0.0,0.0,0.0,0.0,2370.0,0.0,0.0,30.0
0.0,0.0,72.0,143.0,0.0,0.0,0.0,0.0,2369.0,0.0,0.0,31.0
0.0,0.0,92.0,92.0,0.0,0.0,0.0,0.0,2367.0,0.0,0.0,33.0
0.0,0.0,82.0,123.0,0.0,0.0,0.0,0.0,2349.0,0.0,0.0,51.0
0.0,0.0,92.0,138.0,0.0,0.0,0.0,0.0,2349.0,0.0,0.0,51.0
0.0,0.0,77.0,115.0,0.0,0.0,0.0,0.0,2343.0,0.0,0.0,57.0
0.0,0.0,63.0,126.0,0.0,0.0,0.0,0.0,2339.0,0.0,0.0,61.0
0.0,0.0,60.0,121.0,0.0,0.0,0.0,0.0,2326.0,0.0,0.0,74.0
0.0,3.0,59.0,147.0,0.0,0.2,0.0,3.0,2323.0,0.0,91.2,77.0
0.0,3.0,44.0,109.0,0.0,0.2,0.0,3.0,2321.0,0.0,68.4,79.0
2.0,3.0,71.0,106.0,0.5,0.16666666666666666,1.0,3.0,2295.0,37.5,56.0,105.0
1.0,3.0,66.0,109.0,0.3333333333333333,0.2,1.0,3.0,2295.0,23.0,68.4,105.0
2.0,3.0,87.0,109.0,0.5,0.2,1.0,3.0,2295.0,45.5,68.4,105.0
2.0,3.0,68.0,102.0,0.5,0.16666666666666666,1.0,3.0,2272.0,36.0,54.0,128.0
2.0,3.0,67.0,117.0,0.5,0.14285714285714285,1.0,3.0,2267.0,35.5,53.14285714285714,133.0
2.0,3.0,66.0,116.0,0.5,0.14285714285714285,1.0,3.0,2264.0,35.0,52.71428571428571,136.0
2.0,3.0,73.0,103.0,0.4,0.14285714285714285,1.0,3.0,2263.0,31.200000000000003,47.14285714285714,137.0
2.0,3.0,71.0,99.0,0.4,0.14285714285714285,1.0,3.0,2247.0,30.400000000000002,45.42857142857142,153.0
2.0,3.0,69.0,110.0,0.4,0.125,1.0,3.0,2242.0,29.6,44.25,158.0
2.0,3.0,67.0,107.0,0.4,0.125,1.0,3.0,2237.0,28.8,43.125,163.0
2.0,3.0,62.0,112.0,0.4,0.1111111111111111,1.0,3.0,2233.0,26.8,40.33333333333333,167.0
2.0,3.0,61.0,110.0,0.4,0.1111111111111111,1.0,3.0,2222.0,26.400000000000002,39.666666666666664,178.0
2.0,3.0,71.0,107.0,0.3333333333333333,0.1111111111111111,1.0,3.0,2218.0,25.666666666666664,38.666666666666664,182.0
2.0,3.0,70.0,105.0,0.3333333333333333,0.1111111111111111,1.0,3.0,2214.0,25.333333333333332,38.0,186.0
